#####################################################################
#                 NEPTUNE Txys interpolation data                   #
#####################################################################
#	      MJD           x                   y                s
		42413.0 -0.002396830439708 -0.25088582888D-04 -0.17301593D-07
        42413.5 -0.002396692453899 -0.24983413286D-04 -0.17177537D-07
        42414.0 -0.002396580009179 -0.24896550335D-04 -0.17075083D-07
        42414.5 -0.002396487548522 -0.24833494738D-04 -0.17000853D-07
        42415.0 -0.002396408434819 -0.24797692200D-04 -0.16959031D-07
        42415.5 -0.002396335575348 -0.24790435962D-04 -0.16951242D-07
        42416.0 -0.002396262001386 -0.24810972446D-04 -0.16976673D-07
        42416.5 -0.002396181352137 -0.24856759695D-04 -0.17032374D-07
        42417.0 -0.002396088237690 -0.24923822305D-04 -0.17113676D-07
        42417.5 -0.002395978476659 -0.25007151591D-04 -0.17214660D-07
        42418.0 -0.002395849218273 -0.25101110362D-04 -0.17328636D-07
        42418.5 -0.002395698966130 -0.25199813528D-04 -0.17448596D-07
        42419.0 -0.002395527523555 -0.25297466381D-04 -0.17567618D-07
        42419.5 -0.002395335880128 -0.25388650872D-04 -0.17679206D-07
        42420.0 -0.002395126056734 -0.25468556494D-04 -0.17777572D-07
        42420.5 -0.002394900923305 -0.25533156502D-04 -0.17857850D-07
        42421.0 -0.002394664000108 -0.25579332196D-04 -0.17916250D-07
        42421.5 -0.002394419250903 -0.25604948345D-04 -0.17950151D-07
        42422.0 -0.002394170874960 -0.25608882375D-04 -0.17958144D-07
        42422.5 -0.002393923104856 -0.25591009719D-04 -0.17940016D-07
        42423.0 -0.002393680017270 -0.25552148488D-04 -0.17896690D-07
        42423.5 -0.002393445363922 -0.25493968286D-04 -0.17830112D-07
        42424.0 -0.002393222428729 -0.25418869903D-04 -0.17743116D-07
        42424.5 -0.002393013915333 -0.25329843924D-04 -0.17639248D-07
        42425.0 -0.002392821867020 -0.25230316652D-04 -0.17522589D-07
        42425.5 -0.002392647619139 -0.25123991244D-04 -0.17397559D-07
        42426.0 -0.002392491782681 -0.25014691189D-04 -0.17268732D-07
        42426.5 -0.002392354256425 -0.24906212404D-04 -0.17140654D-07
        42427.0 -0.002392234263720 -0.24802189399D-04 -0.17017689D-07
        42427.5 -0.002392130408682 -0.24705979545D-04 -0.16903873D-07
